CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa_circ_0016545,185.578,131.7511,,chr1,223900118,223947183,+,1753,ENST00000433674,CAPN2
hsa_circ_0015540,55.16339,129.1189,,chr1,181724372,181727247,+,666,ENST00000367570,CACNA1E
hsa_circ_0111070,814.1763,1138.059,,chr1,167734819,167772774,+,37955,ENST00000464954,MPZL1
hsa_circ_0012009,477.9974,730.9153,,chr1,43770903,43771014,+,111,ENST00000372476,TIE1
hsa-circRNA8959-22,6753.415,3216.069,,chr1,223988401,223994649,-,964,ENST00000391878,TP53BP2
hsa-circRNA770-21,108.0446,5.658881,,chr1,225140371,225284941,+,3728,ENST00000430092,DNAH14
hsa_circ_0009049,1993.206,1877.279,,chr1,56977647,57002784,-,671,ENST00000371250,PPAP2B
hsa_circ_0013466,1081.7,590.6283,,chr1,110235827,110236367,+,540,ENST00000309851,GSTM1
hsa-circRNA8678,36.66479,39.97815,,chr1,120460425,120461024,-,599,ENST00000256646,NOTCH2
hsa_circ_0113759,14.00432,15.38975,,chr1,61644094,61644208,+,114,ENST00000371191,NFIA
hsa_circ_0114147,2343.51,1057.393,,chr1,77587959,77676174,-,978,ENST00000370812,PIGK
hsa_circ_0016708,4262.608,4015.597,,chr1,226453913,226488906,-,905,ENST00000460719,LIN9
hsa_circ_0010090,6.378016,9.414002,,chr1,16084668,16113084,+,3935,ENST00000496928,FBLIM1
hsa_circ_0111877,1859.081,1275.635,,chr1,21212693,21221994,-,425,ENST00000264211,EIF4G3
hsa_circ_0113811,227.2735,229.7855,,chr1,62910408,62913182,+,863,ENST00000371146,USP1
hsa_circ_0110664,435.3037,244.6807,,chr1,14099572,14109326,+,4525,ENST00000235372,PRDM2
hsa_circ_0110136,666.928,122.3171,,chr1,100459092,100483371,+,905,ENST00000370155,SLC35A3
hsa_circ_0113038,122.2875,293.6399,,chr1,32222110,32222213,+,103,ENST00000398556,BAI2
hsa_circ_0012814,1369.202,779.3388,,chr1,63042932,63091072,-,830,ENST00000251157,DOCK7
hsa_circ_0014148,650.6322,684.5598,,chr1,151271283,151271549,-,266,ENST00000368874,PI4KB
hsa-circRNA8268-20,5365.909,3602.254,,chr1,5987708,6029319,-,1162,ENST00000478423,NPHP4
hsa_circ_0010681,4208.611,3431.595,,chr1,22172600,22178419,-,1594,ENST00000374695,HSPG2
hsa_circ_0009592,1919.408,1938.371,,chr1,8616533,8716500,-,869,ENST00000337907,RERE
hsa_circ_0012100,484.6236,194.3067,,chr1,44168326,44170128,-,262,ENST00000398804,-
hsa_circ_0011890,45.14633,30.14305,,chr1,40654726,40697330,+,852,ENST00000372771,RLF
hsa_circ_0009965,162.0515,297.3647,,chr1,12339555,12572098,+,11737,ENST00000356315,VPS13D
hsa_circ_0113569,2825.505092,4863.452261,,chr1,52896684,52927441,-,1642,ENST00000257177,ZCCHC11
hsa_circ_0015232,5323.504,5276.916,,chr1,171537385,171540560,+,195,ENST00000426496,PRRC2C
hsa_circ_0009278,809.7149,1188.142,,chr1,1413405,1417994,+,1086,ENST00000472194,ATAD3B
hsa_circ_0111782,970.3858,2905.067,,chr1,2075648,2082417,+,456,ENST00000378567,PRKCZ
hsa_circ_0017184,49.94019504,133.9927702,,chr1,240370098,240458183,+,2229,ENST00000319653,FMN2
hsa_circ_0014126,4268.793,3728.298,,chr1,151199795,151204841,+,330,ENST00000349792,PIP5K1A
hsa_circ_0017160,1562.465262,2393.565159,,chr1,237013643,237016388,+,438,ENST00000366577,MTR
hsa_circ_0013020,3476.563,8086.831,,chr1,78414839,78426180,-,582,ENST00000294623,FUBP1
hsa_circ_0006450,1228.767,1283.258,,chr1,70650467,70654956,-,386,ENST00000370952,LRRC40
hsa_circ_0113161,5762.895259,5996.781475,,chr1,35846861,35855699,+,8838,ENST00000314607,ZMYM4
hsa_circ_0015449,1163.399,821.0121,,chr1,179311248,179312770,+,207,ENST00000539888,SOAT1
hsa_circ_0111410,6.372264,20.39397,,chr1,181647484,181680205,+,32721,ENST00000524607,CACNA1E
hsa_circ_0015313,3387.509,2270.787,,chr1,173910402,173910518,-,116,ENST00000367696,RC3H1
hsa_circ_0112674,15.00842,54.59586,,chr1,237919587,237921076,+,180,ENST00000366574,RYR2
hsa_circ_0012677,305.6094,1391.925,,chr1,55509515,55512319,+,316,ENST00000302118,PCSK9
hsa_circ_0015030,4165.987,5017.802,,chr1,161771841,161830067,+,916,ENST00000367942,ATF6
hsa_circ_0111792,389.4767,249.1982,,chr1,208266130,208270228,-,366,ENST00000367033,PLXNA2
hsa_circ_0014178,2724.588,2554.52,,chr1,151413403,151414681,-,284,ENST00000271715,POGZ
hsa_circ_0011748,5362.128,5946.729,,chr1,38445136,38447483,-,291,ENST00000373019,SF3A3
hsa_circ_0011545,2251.326,2735.98,,chr1,35846859,35865177,+,2347,ENST00000314607,ZMYM4
hsa_circ_0110780,909.856,1148.563,,chr1,150931653,150933667,+,799,ENST00000271640,SETDB1
hsa_circ_0111471,98.64449,42.77645,,chr1,185143503,185144245,+,742,ENST00000367501,SWT1
hsa-circRNA8515-21,835.3731,1460.468,,chr1,53720788,53724143,-,447,ENST00000306052,LRP8
hsa_circ_0013624,2177.061,1590.809,,chr1,114504938,114505060,+,122,ENST00000426820,HIPK1
hsa_circ_0010851,134.5886,128.1781,,chr1,23667344,23667510,-,166,ENST00000374616,HNRNPR
hsa_circ_0009445,408.8343,758.8615,,chr1,5933311,6022009,-,2798,ENST00000478423,NPHP4
hsa_circ_0015379,180.2789,151.7622,,chr1,176145045,176153828,-,158,ENST00000367667,RFWD2
hsa_circ_0014365,9000.474,12925.93,,chr1,154184795,154187050,-,398,ENST00000368521,C1orf43
hsa_circ_0112774,386.4615,5.570207,,chr1,243708811,243801044,-,822,ENST00000336199,AKT3
hsa_circ_0015119,5.927649,4.987574,,chr1,167937748,167944253,+,6505,ENST00000450548,DCAF6
hsa_circ_0110837,617.321,173.6911,,chr1,15382586,15390118,+,3641,ENST00000491547,KAZN
hsa_circ_0006796,850.8767,859.6029,,chr1,180953812,180974599,-,656,ENST00000258301,STX6
hsa_circ_0014749,590.2538,613.0899,,chr1,156500951,156504525,-,684,ENST00000361170,IQGAP3
hsa_circ_0111439,39.94436,21.4092,,chr1,183511637,183513487,+,1850,ENST00000508461,SMG7
hsa_circ_0016954,218.5029609,94.38364938,,chr1,233248544,233344435,-,23360,ENST00000258229,PCNXL2
hsa_circ_0013685,3057.294,1942.57,,chr1,116932060,116944277,+,2197,ENST00000295598,ATP1A1
hsa_circ_0010290,10631.88,8867.379,,chr1,19452939,19513151,-,7806,ENST00000375254,UBR4
hsa_circ_0002402,5408.79,3123.246,,chr1,21599191,21616649,-,442,ENST00000415912,ECE1
hsa_circ_0012198,394.8277,107.9025,,chr1,45468219,45469806,-,1258,ENST00000486132,HECTD3
hsa_circ_0015114,1259.395,1333.39,,chr1,167935866,168014465,+,2099,ENST00000367843,DCAF6
hsa_circ_0112521,752.3792,426.3915,,chr1,235628952,235634274,-,190,ENST00000366600,B3GALNT2
hsa_circ_0111030,1632.765,3707.715,,chr1,164761730,164790863,+,935,ENST00000420696,PBX1
hsa_circ_0017067,426.7270824,254.2928469,,chr1,235634163,235647831,-,401,ENST00000366600,B3GALNT2
hsa_circ_0015838,602.2179,245.0147,,chr1,200729966,200776665,+,422,ENST00000358823,CAMSAP2
hsa_circ_0111128,207.0685,368.0402,,chr1,170001026,170007572,-,466,ENST00000361580,KIFAP3
hsa-circRNA8659-3,45.75508,5.693891,,chr1,114362198,114397671,-,1819,ENST00000359785,PTPN22
hsa_circ_0112771,8541.224,36.65309,,chr1,243708811,243727150,-,432,ENST00000336199,AKT3
hsa_circ_0014201,9138.766,10074.8,,chr1,151955385,151955800,-,415,ENST00000368811,S100A10
hsa-circRNA628-23,484.1936,256.0744,,chr1,174244970,174247917,+,270,ENST00000357444,RABGAP1L
hsa_circ_0011276,11099.35,8569.809,,chr1,31886659,31898760,+,1571,ENST00000491976,SERINC2
hsa_circ_0015294,1898.249,2324.473,,chr1,173833394,173835032,-,270,ENST00000449289,-
hsa_circ_0008661,9569.815,14183.93,,chr1,160293220,160302347,-,320,ENST00000368069,COPA
hsa_circ_0113204,916.3340974,1095.186254,,chr1,36306765,36307351,+,451,ENST00000373210,AGO4
hsa_circ_0005012,709.37,368.449,,chr1,121115831,121116815,+,984,ENST00000367123,-
hsa_circ_0110438,482.4017,727.9587,,chr1,11259314,11264760,-,452,ENST00000361445,MTOR
hsa_circ_0012454,53.18802,47.55505,,chr1,52082545,52117713,+,399,ENST00000371714,OSBPL9
hsa-circRNA8470-2,10162.87,7280.622,,chr1,43829994,43831047,-,572,ENST00000372458,ELOVL1
hsa_circ_0112540,19.76437,10.57089,,chr1,235944164,235955425,-,1098,ENST00000389794,LYST
hsa-circRNA320-11,43.37469,262.9878,,chr1,62237102,62241006,+,325,ENST00000316485,INADL
hsa_circ_0008936,301.444,858.8129,,chr1,10527246,10529395,-,305,ENST00000377038,DFFA
hsa_circ_0113438,17.78815823,26.4412752,,chr1,45402270,45403151,+,881,ENST00000360403,EIF2B3
hsa_circ_0016536,3116.856,1868.383,,chr1,222823633,222828135,+,976,ENST00000344922,MIA3
hsa_circ_0112448,2316.372,6078.835,,chr1,23395061,23395178,+,117,ENST00000356634,KDM1A
hsa_circ_0113275,532.6107876,828.8881187,,chr1,39781184,39818903,+,1953,ENST00000545844,MACF1
hsa-circRNA8308-1,2119.422,2491.475,,chr1,16270302,16271095,-,389,ENST00000375743,ZBTB17
hsa_circ_0110994,4141.179,3995.399,,chr1,161816238,161823113,+,346,ENST00000367942,ATF6
hsa_circ_0111937,1022.564,444.7642,,chr1,213403839,213416001,+,1867,ENST00000543470,RPS6KC1
hsa_circ_0114376,3469.892,2056.467,,chr1,89206670,89237562,+,937,ENST00000316005,PKN2
hsa-circRNA8528-28,157.7156,154.7073,,chr1,55619791,55620451,-,366,ENST00000294383,USP24
hsa_circ_0114483,1228.185,673.322,,chr1,92789001,92811471,+,1164,ENST00000610020,RPAP2
hsa_circ_0010111,1079.172,1232.443,,chr1,16235815,16247478,+,868,ENST00000375759,SPEN
hsa-circRNA547-4,5856.888,7334.74,,chr1,155295357,155295463,+,106,ENST00000368354,RUSC1
hsa_circ_0113221,805.772587,722.101404,,chr1,36492714,36506042,+,766,ENST00000373191,AGO3
hsa_circ_0016152,299.6785,4040.379,,chr1,204426164,204433260,-,558,ENST00000367187,PIK3C2B
hsa_circ_0113404,430.2777242,685.616047,,chr1,43240407,43247460,+,7053,ENST00000372525,C1orf50
hsa_circ_0013705,83.83658,684.8199,,chr1,117509532,117532972,+,4384,ENST00000393203,PTGFRN
hsa_circ_0008071,6656.95,4689.072,,chr1,21327691,21329301,-,1610,ENST00000411888,EIF4G3
hsa_circ_0113574,71.32684118,85.17556541,,chr1,52911458,52927441,-,753,ENST00000257177,ZCCHC11
hsa-circRNA51-4,484.3704,389.0846,,chr1,10032075,10032246,+,171,ENST00000403197,NMNAT1
hsa_circ_0110363,1624.696,865.8004,,chr1,109560139,109566143,-,251,ENST00000400794,WDR47
hsa-circRNA8528-35,77.19016,69.87251,,chr1,55565443,55575919,-,862,ENST00000294383,USP24
hsa_circ_0016459,56.64314,123.0591,,chr1,215259710,215298093,+,429,ENST00000467031,KCNK2
hsa_circ_0016529,61.67228,23.20434,,chr1,222794500,222827821,+,4335,ENST00000344922,MIA3
hsa-circRNA72-120,4337.037,8147.271,,chr1,12422775,12520451,+,2521,ENST00000356315,VPS13D
hsa_circ_0111659,1434.603,610.4709,,chr1,200534196,200586873,-,52677,ENST00000367350,KIF14
hsa_circ_0113284,160.3612412,21.46642737,,chr1,39788279,39854330,+,5586,ENST00000545844,MACF1
hsa_circ_0010623,2678.245,4663.655,,chr1,22161171,22201026,-,7192,ENST00000374695,HSPG2
hsa_circ_0015848,203.3696,137.9058,,chr1,200813909,200829831,+,6060,ENST00000358823,CAMSAP2
hsa_circ_0112011,3192.191,2148.449,,chr1,220174479,220180680,-,576,ENST00000366923,EPRS
hsa_circ_0012745,576.7431,1566.729,,chr1,59762624,59844509,+,766,ENST00000413489,FGGY
hsa_circ_0013890,90.28751,136.6724,,chr1,145522513,145523732,+,1219,ENST00000369306,PEX11B
hsa_circ_0110320,496.0697,285.2922,,chr1,109338855,109339348,+,246,ENST00000370008,STXBP3
hsa-circRNA8435-2,960.8157,270.6112,,chr1,36814300,36826941,-,747,ENST00000359297,STK40
hsa_circ_0112639,6.338799,23.96741,,chr1,237580348,237620035,+,839,ENST00000366574,RYR2
hsa_circ_0010392,683.5498,988.972,,chr1,19582441,19584015,+,254,ENST00000330263,MRTO4
hsa_circ_0011484,88850.87,78975.86,,chr1,33985064,34276465,-,9313,ENST00000241312,CSMD2
hsa-circRNA674-1,463.2972,197.8064,,chr1,198222169,198266370,+,741,ENST00000367385,NEK7
hsa-circRNA8467-6,8458.516,7929.09,,chr1,42664772,42664901,-,129,ENST00000372572,FOXJ3
hsa_circ_0014152,510.7454,652.1907,,chr1,151317203,151317664,-,203,ENST00000290524,RFX5
hsa_circ_0013641,1233.303,661.9356,,chr1,115247084,115251275,-,3750,ENST00000369535,NRAS
hsa_circ_0010134,2211.008,1768.498,,chr1,16528276,16532578,-,848,ENST00000478117,ARHGEF19
hsa_circ_0015412,33.71469,10.52059,,chr1,178885464,178889237,+,3773,ENST00000367635,RALGPS2
hsa_circ_0015856,7.966961,82.53495,,chr1,200877857,200884864,+,3270,ENST00000367342,C1orf106
hsa-circRNA8515-10,265.5394,811.1931,,chr1,53726135,53792664,-,1932,ENST00000306052,LRP8
hsa-circRNA643-11,6434.769,7770.6,,chr1,179882720,179883189,+,102,ENST00000271583,TOR1AIP1
hsa-circRNA8788-6,3194.098,4368.749,,chr1,156280348,156294880,-,1229,ENST00000295688,CCT3
hsa_circ_0111679,1935.183,1243.757,,chr1,200821668,200826552,+,666,ENST00000358823,CAMSAP2
hsa-circRNA8448-6,155.5645,361.8668,,chr1,38338601,38339827,-,399,ENST00000373027,INPP5B
hsa_circ_0011119,3426.899,3365.769,,chr1,28362054,28365416,-,204,ENST00000373871,EYA3
hsa_circ_0015888,44.78743,271.4535,,chr1,201434621,201435306,-,685,ENST00000367311,PHLDA3
hsa_circ_0015367,27.46142,24.93931,,chr1,176050287,176133027,-,712,ENST00000367669,RFWD2
hsa_circ_0110538,1550.737,3761.771,,chr1,114680371,114680669,+,298,ENST00000610121,SYT6
hsa_circ_0016874,1263.337949,2563.446345,,chr1,230979099,230991782,-,753,ENST00000523410,C1orf198
hsa_circ_0113428,59.27821765,520.4160824,,chr1,45288914,45289057,-,143,ENST00000447098,PTCH2
hsa_circ_0008944,8662.341,9458.765,,chr1,168200751,168212307,+,949,ENST00000471981,SFT2D2
hsa_circ_0112244,441.2661,251.0244,,chr1,226483542,226485514,-,200,ENST00000328205,LIN9
hsa_circ_0014447,342.8597,986.6039,,chr1,154698391,154705620,-,253,ENST00000271915,KCNN3
hsa-circRNA620-30,16964.19,12222.97,,chr1,171553094,171553665,+,340,ENST00000426496,PRRC2C
hsa-circRNA8883-26,825.6704,716.0909,,chr1,197684160,197704926,-,255,ENST00000235453,DENND1B
hsa_circ_0113544,1272.470163,1165.296298,,chr1,52263920,52277770,-,810,ENST00000440943,NRD1
hsa_circ_0012457,1037.965,1114.973,,chr1,52211207,52227643,+,460,ENST00000371714,OSBPL9
hsa_circ_0010604,1313.642,2116.73,,chr1,22159959,22201026,-,7450,ENST00000374695,HSPG2
hsa_circ_0015706,5060.313,2229.845,,chr1,186289443,186304675,-,1863,ENST00000367478,TPR
